.groups,time,HR1,HR2,Resp1,Resp2,group,trial,condition
1,10.363209,0.3454545056681923,0.4292861525472039,-1.1756330495539904,-0.02471782996207524,4,1,Synchronous
2,10.364876,0.3454545056681923,0.4292861525472039,-1.284101389932852,0.12432152854118142,4,1,Synchronous
3,10.366543,0.5899211231402156,0.4292861525472039,-1.329127314366176,0.3044890539817226,4,1,Synchronous
4,10.368207,0.9010604544682453,0.4292861525472039,-1.260622888413756,0.5067520032145452,4,1,Synchronous
5,10.369875,0.9010604544682453,0.4292861525472039,-1.07561007495294,0.7049393527227309,4,1,Synchronous
6,10.371542,0.9010604544682453,0.7599438913226438,-0.8040120442273267,0.9031275234939088,4,1,Synchronous
7,10.373208,0.9010604544682453,0.7926463050476874,-0.5225909586608689,1.1369498027348726,4,1,Synchronous
8,10.374876,0.9010604544682453,0.7926463050476874,-0.3037951113380619,1.4072335307838726,4,1,Synchronous
9,10.376542,0.9010604544682453,0.7926463050476874,-0.21185738723857309,1.6697045839889457,4,1,Synchronous
10,10.378207,0.9010604544682453,0.7926463050476874,-0.25537314702628267,1.8879011850368594,4,1,Synchronous
11,10.379874,0.9010604544682453,0.7926463050476874,-0.3953664135380056,2.0404686893542134,4,1,Synchronous
12,10.381543,0.9010604544682453,0.7926463050476874,-0.5764102835396987,2.132150711983426,4,1,Synchronous
13,10.383208,1.2531406745468776,0.7926463050476874,-0.754594321996524,2.171082848376921,4,1,Synchronous
14,10.384876,1.7012427728287733,1.3024918295767312,-0.9090746107381207,2.168397154140128,4,1,Synchronous
15,10.38654,1.7012427728287733,1.3529161122224607,-1.0228476745920214,2.151615794664583,4,1,Synchronous
16,10.388208,1.7012427728287733,1.3529161122224607,-1.0857323706839315,2.1454678199056603,4,1,Synchronous
17,10.389875,1.7012427728287733,1.3529161122224607,-1.1219028630084618,2.148869162713776,4,1,Synchronous
18,10.391543,1.7012427728287733,1.3529161122224607,-1.1664386659684693,2.153427336572576,4,1,Synchronous
19,10.393208,1.7012427728287733,1.3529161122224607,-1.2047852976345257,2.1556270073706387,4,1,Synchronous
20,10.394876,1.7012427728287733,1.3529161122224607,-1.2359442978943933,2.21079814115969,4,1,Synchronous
21,10.39654,1.7012427728287733,1.3529161122224607,-1.2647354209303423,2.3819480346942834,4,1,Synchronous
22,10.398208,1.7012427728287733,1.1277109896604058,-1.2767928225293916,2.57344373334277,4,1,Synchronous
23,10.399877,1.0698544068513371,1.021732108454733,-1.27231830873191,2.6530216534890934,4,1,Synchronous
24,10.401542,0.2662692137891456,1.021732108454733,-1.2635892452921402,2.6544905644767787,4,1,Synchronous
25,10.403208,0.2662692137891456,1.021732108454733,-1.2373140102599736,2.6482651446176995,4,1,Synchronous
26,10.404875,0.2662692137891456,1.021732108454733,-1.214481583323957,2.52476731154791,4,1,Synchronous
27,10.40654,0.2662692137891456,1.021732108454733,-1.211436895586012,2.2835963710535605,4,1,Synchronous
28,10.408208,0.2662692137891456,1.021732108454733,-1.2173429183902578,1.9917932530749436,4,1,Synchronous
29,10.409877,0.2662692137891456,1.021732108454733,-1.2117379955128122,1.7404158203672702,4,1,Synchronous
30,10.411541,0.2662692137891456,1.0272913931544376,-1.1797660431658181,1.5918519731364442,4,1,Synchronous
31,10.413208,0.2662692137891456,1.0340860744540765,-1.1354113489478181,1.567016158992096,4,1,Synchronous
32,10.414874,0.2662692137891456,1.0340860744540765,-1.0968412986559433,1.6203149774117385,4,1,Synchronous
33,10.416542,0.9525392235891956,1.0340860744540765,-1.0591254178955773,1.658099973657856,4,1,Synchronous
34,10.418208,1.825973781516532,1.0340860744540765,-1.014291231344646,1.6427868681596025,4,1,Synchronous
35,10.419876,1.825973781516532,1.0340860744540765,-0.9755526737471979,1.6004147895973624,4,1,Synchronous
36,10.421541,1.825973781516532,1.0340860744540765,-0.9490962413968539,1.582876389895692,4,1,Synchronous
37,10.423208,1.825973781516532,1.0340860744540765,-0.9194266966740836,1.643913969489972,4,1,Synchronous
38,10.424873999999999,1.825973781516532,1.0340860744540765,-0.8751647358008665,1.7665061958583634,4,1,Synchronous
39,10.426543,1.825973781516532,0.6069567037646871,-0.8402078669153599,1.8510998976026887,4,1,Synchronous
40,10.428209,1.825973781516532,0.39657955103707737,-0.8369127359621671,1.7920763833702555,4,1,Synchronous
41,10.429875000000001,1.825973781516532,0.39657955103707737,-0.8891777693190732,1.6744204403422305,4,1,Synchronous
42,10.431541,1.825973781516532,0.39657955103707737,-0.9691535798831786,1.559582250640129,4,1,Synchronous
43,10.433208,1.0637256486466793,0.39657955103707737,-1.0820192871680983,1.4628985721363783,4,1,Synchronous
44,10.434876000000001,0.09359166135777566,0.39657955103707737,-1.288928348310272,1.3597691289127656,4,1,Synchronous
45,10.436542,0.09359166135777566,0.39657955103707737,-1.5644790398920045,1.2418686137656907,4,1,Synchronous
46,10.438209,0.09359166135777566,0.39657955103707737,-1.8704042421223983,1.1144787332500008,4,1,Synchronous
47,10.439874,0.09359166135777566,0.39657955103707737,-2.171000200041392,0.9595489480621461,4,1,Synchronous
48,10.441541,0.09359166135777566,0.3056997289536537,-2.4047800085685074,0.7674474858306801,4,1,Synchronous
49,10.443207,0.09359166135777566,0.2785538080715921,-2.4531124076098467,0.5571433863895262,4,1,Synchronous
50,10.444877,0.09359166135777566,0.2785538080715921,-2.4531124076098467,0.33535688055050866,4,1,Synchronous
51,10.446542,0.09359166135777566,0.2785538080715921,-2.4531124076098467,0.13293230676083906,4,1,Synchronous
52,10.448207,0.09359166135777566,0.2785538080715921,-2.4531124076098467,0.002135006090891528,4,1,Synchronous
53,10.449875,0.612260152817385,0.2785538080715921,-2.4531124076098467,-0.04833686085731623,4,1,Synchronous
54,10.451541,1.2723836874023422,0.2785538080715921,-2.4531124076098467,-0.026162103059996986,4,1,Synchronous
55,10.453208,1.2723836874023422,0.2785538080715921,-2.4531124076098467,0.07474631652775765,4,1,Synchronous
56,10.454877,1.2723836874023422,0.29806846778696267,-2.4531124076098467,0.17436223241853221,4,1,Synchronous
57,10.456542,1.2723836874023422,0.4953833604645988,-2.4531124076098467,0.20353004459365392,4,1,Synchronous
58,10.458207,1.2723836874023422,0.4953833604645988,-2.4531124076098467,0.13328413582665832,4,1,Synchronous
59,10.459875,1.2723836874023422,0.4953833604645988,-2.4531124076098467,0.003011622208667941,4,1,Synchronous
60,10.461542,1.2723836874023422,0.4953833604645988,-2.4531124076098467,-0.12961183885053176,4,1,Synchronous
61,10.463209,1.2723836874023422,0.4953833604645988,-2.4531124076098467,-0.22979376919546737,4,1,Synchronous
62,10.464876,1.2723836874023422,0.4953833604645988,-2.4531124076098467,-0.26422932645457053,4,1,Synchronous
63,10.466541,0.8428439710396157,0.4953833604645988,-2.4531124076098467,-0.20922704433669642,4,1,Synchronous
64,10.468208,0.2961570593052365,0.4953833604645988,-2.4531124076098467,-0.12517028433661134,4,1,Synchronous
65,10.469875,0.2961570593052365,1.11405043471469,-2.4531124076098467,-0.040707820418424925,4,1,Synchronous
66,10.471542,0.2961570593052365,1.146611859675221,-2.4531124076098467,0.03569378297961979,4,1,Synchronous
