.groups,time,HR1,HR2,Resp1,Resp2,group,trial,condition
1,16.605323,NaN,0.5800157312578995,-0.6954413267852478,NaN,7,1,Conversation
2,16.606992,NaN,0.5800157312578995,-0.7732611578706561,NaN,7,1,Conversation
3,16.608658000000002,NaN,0.5800157312578995,-0.8397039635566762,NaN,7,1,Conversation
4,16.610323,NaN,0.5800157312578995,-0.878463453588645,NaN,7,1,Conversation
5,16.611991,NaN,0.5800157312578995,-0.8907070558465897,NaN,7,1,Conversation
6,16.61366,NaN,0.5800157312578995,-0.8917656931791171,NaN,7,1,Conversation
7,16.615325,NaN,0.5800157312578995,-0.8909235876355855,NaN,7,1,Conversation
8,16.616992,NaN,0.5800157312578995,-0.8895239258517148,NaN,7,1,Conversation
9,16.618659,NaN,0.5800157312578995,-0.8827557522241962,NaN,7,1,Conversation
10,16.620326,NaN,0.5800157312578995,-0.8489757438348429,NaN,7,1,Conversation
11,16.621991,NaN,0.5800157312578995,-0.7349590903060607,NaN,7,1,Conversation
12,16.623657,NaN,0.5800157312578995,-0.5248381862433434,NaN,7,1,Conversation
13,16.625324,NaN,0.5800157312578995,-0.24843326964735366,NaN,7,1,Conversation
14,16.626992,NaN,0.5800157312578995,0.011002092969540193,NaN,7,1,Conversation
15,16.628658,NaN,0.5800157312578995,0.18924493072582488,NaN,7,1,Conversation
16,16.630324,NaN,0.5800157312578995,0.28647817081234306,NaN,7,1,Conversation
17,16.631993,NaN,0.7020567707438798,0.3267955055083057,NaN,7,1,Conversation
18,16.63366,NaN,0.919018618718956,0.3186503051264341,NaN,7,1,Conversation
19,16.635324999999998,NaN,0.919018618718956,0.2529165080123641,NaN,7,1,Conversation
20,16.636992,NaN,0.919018618718956,0.14792132281446257,NaN,7,1,Conversation
21,16.63866,NaN,0.919018618718956,0.06783131069406857,NaN,7,1,Conversation
22,16.640324,NaN,0.955537222449517,0.05545013692393898,NaN,7,1,Conversation
23,16.641991,NaN,1.1624759769226964,0.08146595168904303,NaN,7,1,Conversation
24,16.643658,NaN,1.1624759769226964,0.10182985579638995,NaN,7,1,Conversation
25,16.645324,NaN,1.1624759769226964,0.10984222902822406,NaN,7,1,Conversation
26,16.646992,NaN,1.1624759769226964,0.10764185682268483,NaN,7,1,Conversation
27,16.648658,NaN,2.0283333080952746,0.08559228009491192,NaN,7,1,Conversation
28,16.650326,NaN,2.51537805687985,0.0532120121873796,NaN,7,1,Conversation
29,16.651993,NaN,2.51537805687985,0.008673589258331938,NaN,7,1,Conversation
30,16.653659,NaN,2.51537805687985,-0.0489516320009321,NaN,7,1,Conversation
31,16.655325,NaN,2.51537805687985,-0.080737157012843,NaN,7,1,Conversation
32,16.656992,NaN,2.298840227525738,-0.060901657176527575,NaN,7,1,Conversation
33,16.658658,NaN,1.2416261195027214,-0.01822738257664467,NaN,7,1,Conversation
34,16.660323000000002,NaN,1.2416261195027214,0.019547464933695347,NaN,7,1,Conversation
35,16.661991,NaN,1.2416261195027214,0.028419939307031895,NaN,7,1,Conversation
36,16.663658,NaN,1.2416261195027214,-0.04962636724077004,NaN,7,1,Conversation
37,16.665324000000002,NaN,1.1849786451372777,-0.21171629701007072,NaN,7,1,Conversation
38,16.666992,NaN,1.0237512180971686,-0.3689422423235814,NaN,7,1,Conversation
39,16.668659,NaN,1.0237512180971686,-0.4163912714696304,NaN,7,1,Conversation
40,16.670326,NaN,1.0237512180971686,-0.3618447252690583,NaN,7,1,Conversation
41,16.671992,NaN,1.0237512180971686,-0.29281386253666464,NaN,7,1,Conversation
42,16.673659,NaN,1.2729137468459848,-0.27774278907741745,NaN,7,1,Conversation
43,16.675324,NaN,1.6971634579588337,-0.3215286834679936,NaN,7,1,Conversation
44,16.676992,NaN,1.6971634579588337,-0.4294986586826564,NaN,7,1,Conversation
45,16.678657,NaN,1.6971634579588337,-0.5961861040089359,NaN,7,1,Conversation
46,16.680323,NaN,1.6971634579588337,-0.872482221989012,NaN,7,1,Conversation
47,16.681992,NaN,1.6804896323871095,-1.2031661374137992,NaN,7,1,Conversation
48,16.683658,NaN,1.6616872333381438,-1.4668078310977049,NaN,7,1,Conversation
49,16.685325,NaN,1.6616872333381438,-1.5511053279483447,NaN,7,1,Conversation
50,16.686992,NaN,1.6616872333381438,-1.4038886324487796,NaN,7,1,Conversation
51,16.68866,NaN,1.6616872333381438,-1.1031398058876998,NaN,7,1,Conversation
52,16.690326,NaN,1.5935735887641205,-0.7907453315901734,NaN,7,1,Conversation
53,16.691992,NaN,1.5226797954319737,-0.5621738129979604,NaN,7,1,Conversation
54,16.693658,NaN,1.5226797954319737,-0.4367162538192669,NaN,7,1,Conversation
55,16.695324,NaN,1.5226797954319737,-0.37046559480021085,NaN,7,1,Conversation
56,16.696992,NaN,1.5226797954319737,-0.30166114607085914,NaN,7,1,Conversation
57,16.698657,NaN,1.4591914873149707,-0.20830363913030264,NaN,7,1,Conversation
58,16.700324,NaN,1.371517157058157,-0.1224164500279545,NaN,7,1,Conversation
59,16.701993,NaN,1.371517157058157,-0.05837303956776674,NaN,7,1,Conversation
60,16.703659,NaN,1.371517157058157,-0.025496446172757845,NaN,7,1,Conversation
61,16.705325,NaN,1.371517157058157,-0.029708532859335994,NaN,7,1,Conversation
62,16.706993,NaN,1.371517157058157,-0.06764921943610785,NaN,7,1,Conversation
63,16.70866,NaN,0.6729351718560432,-0.12067124726865429,NaN,7,1,Conversation
64,16.710324,NaN,0.34419070823151904,-0.1831158262242038,NaN,7,1,Conversation
65,16.711992,NaN,0.34419070823151904,-0.2554438747579338,NaN,7,1,Conversation
66,16.713658,NaN,0.34419070823151904,-0.3363390006376922,NaN,7,1,Conversation
67,16.715324,NaN,0.34419070823151904,-0.4338147953021087,NaN,7,1,Conversation
68,16.716991,NaN,0.34419070823151904,-0.5435905249668063,NaN,7,1,Conversation
69,16.718658,NaN,0.34419070823151904,-0.6334653792836095,NaN,7,1,Conversation
70,16.720326,NaN,-0.13178976932738082,-0.5920494661715764,NaN,7,1,Conversation
71,16.721992,NaN,-1.1912301871197708,-0.3641537718489328,NaN,7,1,Conversation
72,16.723659,NaN,-1.1912301871197708,-0.0013539722944934216,NaN,7,1,Conversation
73,16.725325,NaN,-1.1912301871197708,0.4141215168431184,NaN,7,1,Conversation
74,16.726993,NaN,-1.1912301871197708,0.781769154994486,NaN,7,1,Conversation
75,16.728658,NaN,-1.1912301871197708,0.9968249826698574,NaN,7,1,Conversation
76,16.730323,NaN,-1.1912301871197708,1.0360525381300987,NaN,7,1,Conversation
77,16.731992,NaN,-1.1905935938301628,0.9664256133745355,NaN,7,1,Conversation
78,16.733658000000002,NaN,-1.1753153548795727,0.8625454806969693,NaN,7,1,Conversation
79,16.735323,NaN,-1.1753153548795727,0.7679320316684067,NaN,7,1,Conversation
80,16.736991,NaN,-1.1753153548795727,0.709614939252753,NaN,7,1,Conversation
81,16.73866,NaN,-1.1753153548795727,0.7153801262411777,NaN,7,1,Conversation
82,16.740325,NaN,-1.1753153548795727,0.7019170805055721,NaN,7,1,Conversation
83,16.741992,NaN,-1.1753153548795727,0.5277478735086202,NaN,7,1,Conversation
84,16.743659,NaN,-1.1753153548795727,0.24221219643974723,NaN,7,1,Conversation
85,16.745326,NaN,-1.1867740340925153,-0.16110167699019715,NaN,7,1,Conversation
86,16.746991,NaN,-1.1912301871197708,-0.5932194760938783,NaN,7,1,Conversation
87,16.748657,NaN,-1.1912301871197708,-0.7610549933519303,NaN,7,1,Conversation
88,16.750324,NaN,-1.1912301871197708,-0.7706547941820319,NaN,7,1,Conversation
89,16.751992,NaN,-1.1912301871197708,-1.0826306328591233,NaN,7,1,Conversation
90,16.753658,NaN,-1.1912301871197708,-1.5727694870857565,NaN,7,1,Conversation
91,16.755324,NaN,-1.1912301871197708,-1.9372091269609442,NaN,7,1,Conversation
92,16.756993,NaN,-0.9666238487668672,-2.2914284139302286,NaN,7,1,Conversation
93,16.75866,NaN,-0.8995336438043117,-2.4402257015489486,NaN,7,1,Conversation
94,16.760324999999998,NaN,-0.8995336438043117,-2.4402291492686765,NaN,7,1,Conversation
95,16.761992,NaN,-0.8995336438043117,-2.4402291492686765,NaN,7,1,Conversation
96,16.76366,NaN,-0.8995336438043117,-2.4402291492686765,NaN,7,1,Conversation
97,16.765324,NaN,-0.8995336438043117,-2.4402291492686765,NaN,7,1,Conversation
98,16.766991,NaN,-0.8995336438043117,-2.4402291492686765,NaN,7,1,Conversation
99,16.768658,NaN,-0.8995336438043117,-2.4402291492686765,NaN,7,1,Conversation
